Instr,IPC,CPI
16015971.000000,0.885846,1.128864,14
17121776.000000,0.876981,1.140276,14
17114784.000000,0.873625,1.144656,14
17116777.000000,0.871795,1.147059,14
17113614.000000,0.871095,1.147980,14
17116963.000000,0.864580,1.156631,14
17116561.000000,0.874712,1.143233,14
17116459.000000,0.870997,1.148110,14
17115692.000000,0.866305,1.154328,14
17115629.000000,0.881370,1.134598,14
17117403.000000,0.875366,1.142379,14
16283170.000000,0.885112,1.129801,14
15640447.000000,0.895264,1.116989,14
17136795.000000,0.855151,1.169384,14
17113552.000000,0.877899,1.139084,14
16016609.000000,0.879286,1.137286,14
16650185.000000,0.872805,1.145731,14
16015297.000000,0.883191,1.132258,14
17115070.000000,0.877196,1.139996,14
17115118.000000,0.880060,1.136287,14
16651701.000000,0.881810,1.134031,14
17116038.000000,0.880585,1.135609,14
17113699.000000,0.879066,1.137571,14
16649741.000000,0.880857,1.135258,14
17113921.000000,0.884489,1.130597,14
17113852.000000,0.880462,1.135767,14
16653180.000000,0.865681,1.155160,14
16731150.000000,0.876612,1.140756,14
16733121.000000,0.877758,1.139266,14
16733411.000000,0.872401,1.146262,14
17113552.000000,0.878916,1.137766,14
16732678.000000,0.881500,1.134430,14
17114467.000000,0.877707,1.139332,14
17113744.000000,0.879830,1.136583,14
17113555.000000,0.877617,1.139449,14
17115695.000000,0.876348,1.141100,14
17117264.000000,0.873653,1.144619,14
17115545.000000,0.878092,1.138833,14
17115544.000000,0.879833,1.136580,14
17114785.000000,0.882122,1.133630,14
226496319.000000,0.707184,1.414060,5
231645812.000000,0.700872,1.426793,5
226367325.000000,0.722448,1.384183,5
227805471.000000,0.719591,1.389677,5
231438241.000000,0.716918,1.394859,5
234218705.000000,0.716405,1.395859,5
232363788.000000,0.720827,1.387295,5
232658628.000000,0.725121,1.379080,5
233713634.000000,0.716048,1.396555,5
235813025.000000,0.712122,1.404253,5
235777034.000000,0.720239,1.388429,5
234692836.000000,0.714559,1.399466,5
232783284.000000,0.710444,1.407570,5
235501915.000000,0.709788,1.408871,5
240805634.000000,0.709192,1.410056,5
239598403.000000,0.714882,1.398833,5
235175918.000000,0.714911,1.398776,5
238224710.000000,0.713136,1.402258,5
236685534.000000,0.711362,1.405753,5
237222877.000000,0.707534,1.413360,5
239832404.000000,0.714192,1.400183,5
237800805.000000,0.712250,1.404001,5
238201584.000000,0.709086,1.410267,5
239366959.000000,0.714141,1.400284,5
240888244.000000,0.706150,1.416129,5
240658654.000000,0.704511,1.419423,5
240960306.000000,0.709624,1.409197,5
236487893.000000,0.707938,1.412552,5
242182435.000000,0.715469,1.397685,5
244535940.000000,0.706568,1.415292,5
242198114.000000,0.707304,1.413820,5
246644734.000000,0.706692,1.415044,5
245072653.000000,0.707913,1.412604,5
245910110.000000,0.711991,1.404512,5
247671922.000000,0.705173,1.418091,5
247074714.000000,0.711549,1.405384,5
248637984.000000,0.702901,1.422675,5
245506258.000000,0.702181,1.424135,5
246300656.000000,0.701101,1.426328,5
250945816.000000,0.701749,1.425012,5
246551056.000000,0.702086,1.424326,5
251395809.000000,0.711905,1.404683,5
248977422.000000,0.700438,1.427679,5
249558500.000000,0.698385,1.431875,5
250420489.000000,0.710649,1.407164,5
250435138.000000,0.704239,1.419972,5
251874445.000000,0.708270,1.411891,5
252935985.000000,0.708993,1.410452,5
252633956.000000,0.708623,1.411188,5
250641533.000000,0.702229,1.424038,5
247572599.000000,0.693831,1.441273,5
255332402.000000,0.696587,1.435572,5
253932188.000000,0.703134,1.422204,5
250936057.000000,0.701901,1.424702,5
254350642.000000,0.699729,1.429124,5
256212455.000000,0.701833,1.424841,5
255258844.000000,0.703900,1.420657,5
254859694.000000,0.702269,1.423956,5
255214048.000000,0.700028,1.428515,5
255630962.000000,0.703002,1.422471,5
254848260.000000,0.701087,1.426357,5
255805372.000000,0.703150,1.422171,5
254891739.000000,0.699504,1.429585,5
256233419.000000,0.696511,1.435727,5
257967278.000000,0.698178,1.432300,5
257572358.000000,0.700022,1.428527,5
257455914.000000,0.701608,1.425298,5
257729028.000000,0.698716,1.431197,5
258337241.000000,0.702239,1.424017,5
257113207.000000,0.695479,1.437857,5
259432875.000000,0.704037,1.420380,5
257838642.000000,0.699008,1.430599,5
259622313.000000,0.702892,1.422693,5
259764858.000000,0.696856,1.435017,5
255946771.000000,0.691318,1.446512,5
258931651.000000,0.690162,1.448935,5
261831734.000000,0.699823,1.428932,5
257988322.000000,0.693198,1.442589,5
261388342.000000,0.692794,1.443430,5
259025600.000000,0.693089,1.442815,5
262001110.000000,0.700912,1.426712,5
262589771.000000,0.694444,1.440001,5
261999152.000000,0.699869,1.428839,5
261907271.000000,0.692430,1.444190,5
259704527.000000,0.690289,1.448668,5
261644664.000000,0.693416,1.442136,5
264550072.000000,0.694001,1.440919,5
262758502.000000,0.691266,1.446620,5
264801596.000000,0.690656,1.447899,5
264577147.000000,0.694957,1.438938,5
265345092.000000,0.695348,1.438129,5
269331363.000000,0.692902,1.443206,5
267210027.000000,0.688396,1.452652,5
267947801.000000,0.695024,1.438798,5
267585636.000000,0.689240,1.450874,5
270531005.000000,0.693577,1.441801,5
270690252.000000,0.691789,1.445527,5
269380449.000000,0.681929,1.466427,5
272876206.000000,0.688151,1.453169,5
272347822.000000,0.692945,1.443117,5
272393407.000000,0.692901,1.443207,5
271435740.000000,0.689341,1.450661,5
274086962.000000,0.690956,1.447269,5
271534070.000000,0.683833,1.462345,5
272670322.000000,0.687734,1.454051,5
274273520.000000,0.687335,1.454894,5
275108944.000000,0.686781,1.456068,5
278088988.000000,0.690979,1.447222,5
274257510.000000,0.684789,1.460304,5
274596613.000000,0.683751,1.462521,5
280955913.000000,0.690689,1.447831,5
278920293.000000,0.686293,1.457104,5
276106236.000000,0.681556,1.467230,5
282378757.000000,0.682243,1.465753,5
279141642.000000,0.687845,1.453815,5
280402730.000000,0.684799,1.460283,5
279158194.000000,0.685452,1.458891,5
282904658.000000,0.688006,1.453475,5
282749687.000000,0.684099,1.461776,5
285217035.000000,0.688505,1.452423,5
285887594.000000,0.679707,1.471222,5
284922191.000000,0.683247,1.463599,5
283670930.000000,0.682681,1.464814,5
288294996.000000,0.682939,1.464260,5
288508580.000000,0.680184,1.470191,5
288622099.000000,0.681680,1.466963,5
292420700.000000,0.684051,1.461879,5
290248642.000000,0.682489,1.465225,5
142917985.000000,0.827022,1.209157,11
148044825.000000,0.825340,1.211622,11
150825002.000000,0.822656,1.215575,11
145928538.000000,0.817463,1.223297,11
143909812.000000,0.818222,1.222163,11
143899080.000000,0.821142,1.217815,11
148059886.000000,0.820086,1.219385,11
145932526.000000,0.819503,1.220252,11
142900845.000000,0.820175,1.219251,11
148063138.000000,0.823592,1.214193,11
143907637.000000,0.824571,1.212752,11
148056241.000000,0.821557,1.217201,11
143947679.000000,0.820864,1.218229,11
150802783.000000,0.827972,1.207770,11
151894624.000000,0.820291,1.219079,11
150817870.000000,0.821146,1.217811,11
151876753.000000,0.822970,1.215112,11
151923100.000000,0.831429,1.202748,11
151926646.000000,0.822386,1.215974,11
148004389.000000,0.825476,1.211422,11
151938700.000000,0.819615,1.220086,11
150800874.000000,0.819570,1.220152,11
150818757.000000,0.822118,1.216370,11
151913478.000000,0.826184,1.210385,11
151916471.000000,0.823684,1.214058,11
151922032.000000,0.825318,1.211654,11
150846440.000000,0.821549,1.217213,11
151944338.000000,0.817590,1.223106,11
145915184.000000,0.819134,1.220802,11
148024159.000000,0.822221,1.216217,11
148013329.000000,0.814755,1.227363,11
148056477.000000,0.819986,1.219533,11
148033383.000000,0.815246,1.226624,11
148079141.000000,0.817584,1.223116,11
148043496.000000,0.817362,1.223448,11
141852619.000000,0.817480,1.223272,11
148012141.000000,0.823847,1.213818,11
145913651.000000,0.819155,1.220771,11
145914452.000000,0.819066,1.220903,11
146951893.000000,0.824883,1.212293,11
150797348.000000,0.825732,1.211046,11
148075431.000000,0.817969,1.222541,11
148016298.000000,0.820102,1.219361,11
148067503.000000,0.816356,1.224956,11
148053937.000000,0.813364,1.229462,11
149690532.000000,0.824516,1.212833,11
148041321.000000,0.828358,1.207208,11
149686599.000000,0.820675,1.218509,11
149703939.000000,0.820473,1.218809,11
150816863.000000,0.818488,1.221765,11
149724459.000000,0.817037,1.223935,11
148043236.000000,0.819680,1.219988,11
143984645.000000,0.822977,1.215101,11
148016383.000000,0.818188,1.222213,11
151914512.000000,0.811826,1.231792,11
148015619.000000,0.821720,1.216959,11
151888872.000000,0.822717,1.215485,11
151919276.000000,0.811624,1.232097,11
143963913.000000,0.815355,1.226460,11
143921045.000000,0.817260,1.223601,11
146969902.000000,0.833990,1.199055,11
148038010.000000,0.821818,1.216814,11
143994910.000000,0.815259,1.226604,11
145939185.000000,0.817297,1.223545,11
148049940.000000,0.811657,1.232047,11
148009600.000000,0.812530,1.230723,11
148048507.000000,0.822220,1.216219,11
151936877.000000,0.824340,1.213092,11
148008455.000000,0.824220,1.213268,11
151944798.000000,0.816457,1.224804,11
151914282.000000,0.817378,1.223424,11
146983465.000000,0.822412,1.215935,11
151904638.000000,0.809504,1.235324,11
151898698.000000,0.812025,1.231489,11
151903367.000000,0.806868,1.239361,11
146997892.000000,0.822361,1.216012,11
146974360.000000,0.824714,1.212542,11
151914121.000000,0.821541,1.217225,11
148035853.000000,0.817830,1.222748,11
148032868.000000,0.816295,1.225047,11
146990529.000000,0.816566,1.224641,11
148037393.000000,0.824172,1.213339,11
151908958.000000,0.819895,1.219668,11
148044916.000000,0.822380,1.215983,11
148037345.000000,0.822161,1.216307,11
148040630.000000,0.821194,1.217739,11
141811574.000000,0.815407,1.226381,11
148033787.000000,0.818688,1.221467,11
143997801.000000,0.829377,1.205724,11
148038106.000000,0.813462,1.229314,11
144005721.000000,0.815972,1.225532,11
143915341.000000,0.813229,1.229666,11
144007255.000000,0.818499,1.221748,11
151918000.000000,0.813412,1.229390,11
151880734.000000,0.821684,1.217013,11
151891842.000000,0.816973,1.224030,11
151880077.000000,0.820386,1.218938,11
151928399.000000,0.812239,1.231164,11
151926802.000000,0.814816,1.227271,11
148055526.000000,0.825167,1.211875,11
149722247.000000,0.815758,1.225853,11
148013886.000000,0.813750,1.228879,11
149706590.000000,0.815965,1.225543,11
151910620.000000,0.809650,1.235102,11
149682983.000000,0.816020,1.225461,11
151921982.000000,0.823905,1.213732,11
149705659.000000,0.812451,1.230843,11
151923535.000000,0.808125,1.237432,11
151903975.000000,0.806410,1.240064,11
148030098.000000,0.810218,1.234235,11
151952885.000000,0.821812,1.216823,11
151895507.000000,0.822901,1.215213,11
151970802.000000,0.815607,1.226081,11
151896218.000000,0.815620,1.226061,11
151879696.000000,0.814510,1.227732,11
151945796.000000,0.824078,1.213477,11
151965353.000000,0.826899,1.209338,11
151905596.000000,0.808541,1.236796,11
151925626.000000,0.816916,1.224116,11
151935715.000000,0.825264,1.211734,11
151957812.000000,0.812518,1.230741,11
151925630.000000,0.815963,1.225546,11
151922169.000000,0.815714,1.225921,11
151889920.000000,0.814781,1.227324,11
151964441.000000,0.809405,1.235476,11
151960556.000000,0.812165,1.231278,11
151946249.000000,0.821161,1.217788,11
151904914.000000,0.817581,1.223120,11
202305721.000000,0.822672,1.215551,8
209178717.000000,0.832799,1.200770,8
209164070.000000,0.822945,1.215147,8
215568947.000000,0.828390,1.207160,8
215570914.000000,0.827394,1.208613,8
215600491.000000,0.821993,1.216556,8
200450727.000000,0.816394,1.224899,8
200329927.000000,0.824269,1.213196,8
222981916.000000,0.833168,1.200239,8
222950326.000000,0.834691,1.198048,8
202402169.000000,0.824338,1.213095,8
222991718.000000,0.831036,1.203317,8
225098936.000000,0.826711,1.209612,8
225096570.000000,0.826753,1.209550,8
209293737.000000,0.826665,1.209680,8
209295689.000000,0.832103,1.201775,8
225086041.000000,0.821816,1.216817,8
209192292.000000,0.828781,1.206591,8
217678422.000000,0.831753,1.202280,8
217707115.000000,0.826218,1.210334,8
209163731.000000,0.828179,1.207469,8
222981621.000000,0.829206,1.205973,8
217720577.000000,0.826638,1.209719,8
209185779.000000,0.823851,1.213812,8
209206989.000000,0.823718,1.214008,8
209332360.000000,0.829297,1.205841,8
209306998.000000,0.832409,1.201332,8
225099366.000000,0.825903,1.210796,8
215567526.000000,0.827425,1.208568,8
215591796.000000,0.825775,1.210984,8
209331674.000000,0.816603,1.224586,8
217723676.000000,0.825817,1.210921,8
225074535.000000,0.827806,1.208013,8
209327963.000000,0.816090,1.225355,8
215608564.000000,0.823019,1.215038,8
225061384.000000,0.827236,1.208845,8
225060627.000000,0.826537,1.209867,8
225058702.000000,0.824515,1.212835,8
225097926.000000,0.825092,1.211987,8
225099550.000000,0.825074,1.212013,8
225106167.000000,0.818286,1.222067,8
225089566.000000,0.819846,1.219741,8
230509425.000000,0.817204,1.223684,8
230518449.000000,0.814971,1.227037,8
225096164.000000,0.826692,1.209641,8
220799772.000000,0.822637,1.215602,8
220799064.000000,0.823507,1.214319,8
220783124.000000,0.823498,1.214332,8
230517762.000000,0.817710,1.222927,8
230494046.000000,0.818085,1.222367,8
220817147.000000,0.821812,1.216823,8
220791384.000000,0.820065,1.219415,8
230543269.000000,0.816576,1.224626,8
230496496.000000,0.815282,1.226570,8
225097698.000000,0.823078,1.214952,8
225058483.000000,0.825084,1.211997,8
225054803.000000,0.829309,1.205824,8
220787310.000000,0.822910,1.215200,8
230540774.000000,0.813786,1.228825,8
230544421.000000,0.811039,1.232986,8
220822233.000000,0.821443,1.217370,8
220815628.000000,0.819572,1.220149,8
225071769.000000,0.826986,1.209210,8
225055957.000000,0.826082,1.210534,8
225071778.000000,0.825030,1.212077,8
217720311.000000,0.822624,1.215623,8
225097983.000000,0.819175,1.220740,8
225073829.000000,0.819837,1.219754,8
225072657.000000,0.827377,1.208639,8
222939567.000000,0.830808,1.203647,8
225090083.000000,0.821905,1.216686,8
222989364.000000,0.829178,1.206013,8
225095283.000000,0.817263,1.223596,8
225084867.000000,0.819744,1.219894,8
225104852.000000,0.819881,1.219689,8
225059137.000000,0.819215,1.220681,8
225097083.000000,0.827180,1.208926,8
225054305.000000,0.831133,1.203177,8
225054474.000000,0.828897,1.206423,8
225086567.000000,0.819664,1.220012,8
217696353.000000,0.826636,1.209722,8
230513904.000000,0.815951,1.225563,8
225057556.000000,0.825459,1.211447,8
230522608.000000,0.816915,1.224118,8
230514230.000000,0.813781,1.228833,8
230496726.000000,0.813935,1.228599,8
225104261.000000,0.819019,1.220973,8
230495791.000000,0.813908,1.228640,8
230539090.000000,0.812138,1.231318,8
230496461.000000,0.818501,1.221746,8
225117266.000000,0.818972,1.221043,8
230523342.000000,0.813374,1.229447,8
230513576.000000,0.812100,1.231375,8
230496187.000000,0.816211,1.225174,8
230515782.000000,0.818249,1.222122,8
230547794.000000,0.816711,1.224423,8
230540094.000000,0.816752,1.224362,8
230521799.000000,0.815509,1.226228,8
230501214.000000,0.815128,1.226801,8
230527139.000000,0.814185,1.228222,8
230499463.000000,0.809427,1.235443,8
230523762.000000,0.810974,1.233086,8
230517259.000000,0.810640,1.233593,8
230541188.000000,0.811137,1.232837,8
230550174.000000,0.810208,1.234252,8
230541062.000000,0.807468,1.238439,8
230538245.000000,0.807740,1.238023,8
230543241.000000,0.809899,1.234722,8
222939396.000000,0.831299,1.202937,8
222966810.000000,0.827326,1.208713,8
230514742.000000,0.818226,1.222157,8
23516558.000000,0.759981,1.315822,13
230496275.000000,0.814101,1.228349,8
230514693.000000,0.813976,1.228538,8
225104618.000000,0.826857,1.209399,8
230513840.000000,0.813377,1.229443,8
230518918.000000,0.816867,1.224189,8
230838459.000000,0.818330,1.222002,8
230537592.000000,0.816940,1.224080,8
225079600.000000,0.824674,1.212601,8
230500103.000000,0.814524,1.227712,8
230495887.000000,0.813720,1.228924,8
230496100.000000,0.815791,1.225804,8
230496225.000000,0.812562,1.230675,8
230542388.000000,0.808437,1.236955,8
23508833.000000,0.763978,1.308938,13
22731502.000000,0.765814,1.305800,13
23479061.000000,0.768271,1.301624,13
24277865.000000,0.761926,1.312463,13
23504922.000000,0.765087,1.307041,13
24163376.000000,0.764695,1.307712,13
24165250.000000,0.764365,1.308276,13
24159102.000000,0.765181,1.306879,13
24162712.000000,0.762341,1.311749,13
230514556.000000,0.813007,1.230001,8
24278136.000000,0.766236,1.305080,13
230554664.000000,0.812287,1.231092,8
24952944.000000,0.763607,1.309574,13
23507062.000000,0.761918,1.312477,13
24282434.000000,0.762682,1.311163,13
23518464.000000,0.759569,1.316537,13
23520820.000000,0.758749,1.317958,13
24953299.000000,0.764881,1.307393,13
24952028.000000,0.763805,1.309234,13
24959048.000000,0.762903,1.310782,13
230540770.000000,0.816130,1.225294,8
24287845.000000,0.761629,1.312974,13
23516618.000000,0.760256,1.315346,13
24278448.000000,0.763088,1.310465,13
230544886.000000,0.812761,1.230373,8
24276467.000000,0.764708,1.307689,13
24279490.000000,0.763728,1.309367,13
24278595.000000,0.763554,1.309665,13
24280906.000000,0.763904,1.309065,13
24281550.000000,0.763109,1.310429,13
24278595.000000,0.764686,1.307727,13
24278443.000000,0.763855,1.309149,13
24277023.000000,0.764163,1.308621,13
24282060.000000,0.761109,1.313872,13
24284177.000000,0.761322,1.313505,13
22745159.000000,0.769947,1.298791,13
23512816.000000,0.765569,1.306219,13
23481343.000000,0.766746,1.304213,13
24282013.000000,0.763056,1.310519,13
24284037.000000,0.762644,1.311227,13
24173100.000000,0.760207,1.315431,13
24280088.000000,0.763058,1.310517,13
23487212.000000,0.768254,1.301653,13
23481905.000000,0.766532,1.304576,13
24277694.000000,0.764036,1.308840,13
23516618.000000,0.762097,1.312169,13
24175034.000000,0.761305,1.313534,13
23520382.000000,0.759156,1.317252,13
24276235.000000,0.765441,1.306436,13
24178088.000000,0.760851,1.314318,13
24278565.000000,0.763238,1.310207,13
24173462.000000,0.761735,1.312793,13
24281487.000000,0.762623,1.311264,13
24952860.000000,0.766639,1.304395,13
24281859.000000,0.762249,1.311907,13
24955062.000000,0.763274,1.310145,13
22739838.000000,0.768249,1.301661,13
24171703.000000,0.761452,1.313280,13
24175767.000000,0.761568,1.313080,13
23479871.000000,0.766159,1.305212,13
24957739.000000,0.765289,1.306696,13
23483319.000000,0.767108,1.303597,13
23481418.000000,0.766271,1.305021,13
24956993.000000,0.761972,1.312383,13
24276530.000000,0.762763,1.311023,13
24955032.000000,0.762982,1.310647,13
24177268.000000,0.761687,1.312876,13
24171771.000000,0.764290,1.308403,13
24953013.000000,0.764163,1.308621,13
22735918.000000,0.767761,1.302488,13
24955149.000000,0.763444,1.309853,13
24284230.000000,0.762434,1.311589,13
24280741.000000,0.762385,1.311673,13
24957050.000000,0.763152,1.310354,13
24277718.000000,0.763970,1.308951,13
24953094.000000,0.763501,1.309757,13
24952035.000000,0.765385,1.306532,13
24953747.000000,0.761383,1.313399,13
24277502.000000,0.764816,1.307504,13
24959835.000000,0.763566,1.309645,13
24952182.000000,0.764134,1.308671,13
24956962.000000,0.764209,1.308543,13
24955008.000000,0.764267,1.308443,13
24957939.000000,0.762022,1.312299,13
24957648.000000,0.763041,1.310546,13
24952706.000000,0.764021,1.308865,13
24955000.000000,0.763803,1.309238,13
24955216.000000,0.763006,1.310605,13
24955362.000000,0.763912,1.309052,13
24957162.000000,0.761972,1.312384,13
24960819.000000,0.762201,1.311990,13
24952860.000000,0.764727,1.307656,13
23487889.000000,0.766956,1.303856,13
23510592.000000,0.761676,1.312894,13
23487218.000000,0.769501,1.299543,13
24164213.000000,0.764308,1.308374,13
24276316.000000,0.762158,1.312064,13
